Raw file	Experiment	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Fixed modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]	Label free norm param
EX1_EL_15813_AMH_1_1_12042022	AMH_1_1_12	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Standard		9468	144302	0	182155	106435	0	75720	45410	42922	0	2488	24.93	40.33	NaN	3.29	24963	730760	123075	16.84	10746	8.73	113017	74998	72427	66.36	73.24	21019	28.03	+	0.43325	0.67143	0.29098	0.46911	
EX1_EL_15813_AMH_1_2_10042022	AMH_1_2_10	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Standard		9619	143325	0	180546	106094	0	74452	44249	42018	0	2231	24.51	39.6	NaN	3	24937	698631	122358	17.51	10479	8.56	111327	74960	72394	67.33	74.84	21203	28.29	+	0.41827	0.65044	0.28122	0.45162	
EX1_EL_15813_AMH_2_1_12042022	AMH_2_1_12	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Standard		9390	144971	0	183764	106168	0	77596	41872	39845	0	2027	22.79	37.53	NaN	2.61	22653	729978	122881	16.83	11053	8.99	112407	74114	71227	65.93	73.75	21289	28.72	+	0.43941	0.67849	0.29188	0.46625	
EX1_EL_15813_AMH_2_2_12042022	AMH_2_2_12	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Standard		9413	144628	0	182599	106643	0	75956	43263	40917	0	2346	23.69	38.37	NaN	3.09	23819	717808	123023	17.14	11171	9.08	112022	74650	71913	66.64	73.8	21360	28.61	+	0.43205	0.66481	0.29034	0.46432	
EX1_EL_15813_BAN_1_1_12042022	BAN_1_1_12	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Standard		9841	141401	0	179521	103265	0	76256	37252	35760	0	1492	20.75	34.63	NaN	1.96	20499	688542	119299	17.33	11242	9.42	104614	70685	67957	67.57	74.77	21333	30.18	+	0.42402	0.65296	0.27897	0.44102	
EX1_EL_15813_BAN_1_2_10042022	BAN_1_2_10	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Standard		9517	144069	0	183110	105024	0	78086	40532	38576	0	1956	22.14	36.73	NaN	2.5	21707	670134	120920	18.04	11399	9.43	105661	71670	68869	67.83	75.47	21844	30.48	+	0.41238	0.64559	0.27802	0.45056	
EX1_EL_15813_BAN_2_1_10042022	BAN_2_1_10	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Standard		9642	142938	0	180892	104956	0	75936	40336	38470	0	1866	22.3	36.65	NaN	2.46	22344	690801	120461	17.44	11149	9.26	106865	71587	68790	66.99	74.96	22009	30.74	+	0.4113	0.63852	0.27461	0.44144	
EX1_EL_15813_BAN_2_2_10042022	BAN_2_2_10	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Standard		9754	142389	0	180722	104040	0	76682	38851	37004	0	1847	21.5	35.57	NaN	2.41	21540	664509	120389	18.12	10849	9.01	106127	71852	69131	67.7	75.18	21580	30.03	+	0.42238	0.6524	0.28514	0.45749	
EX1_EL_15813_BED_1_1_12042022	BED_1_1_12	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Standard		9852	141278	0	178995	103549	0	75446	36872	35383	0	1489	20.6	34.17	NaN	1.97	21153	709939	120368	16.95	10726	8.91	107248	72107	69583	67.23	74.55	20998	29.12	+	0.4328	0.6632	0.28595	0.45186	
EX1_EL_15813_BED_1_2_10042022	BED_1_2_10	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Standard		9908	140972	0	177431	104489	0	72942	36533	35111	0	1422	20.59	33.6	NaN	1.95	21896	687203	120836	17.58	10244	8.48	109042	74043	71390	67.9	75.32	20948	28.29	+	0.41807	0.64592	0.27547	0.43966	
