uniprot	AMH_1_1_12	AMH_1_2_10	AMH_2_1_12	AMH_2_2_12	BAN_1_1_12	BAN_1_2_10	BAN_2_1_10	BAN_2_2_10	BED_1_1_12	BED_1_2_10	BED_2_1_12	BED_2_2_10	BPL_1_1_10	BPL_1_2_12	BPL_2_1_10	BPL_2_2_12	BTT_1_1_12	BTT_1_2_10	BTT_2_1_12	BTT_2_2_12	CMP_1_1_10	CMP_1_2_12	CMP_2_1_10	CMP_2_2_10	CPI_1_1_12	CPI_1_2_10	CPI_2_1_12	CPI_2_2_12	CQC_1_1_10	CQC_1_2_12	CQC_2_1_10	CQC_2_2_10
A5Z2X5	9.54110806849349	9.487412141482718	9.722707620304725	9.683407023063822	10.847037382873541	10.675047308512386	10.393582615408867	10.604288675131716	9.790518474918493	9.979307659734907	10.044946170278067	10.826270672669228	7.426741969343393	7.162355550425815	7.821252290277681	7.641776100410843	9.377590301183439	9.217499116307966	9.520264232098594	9.534737961411277	11.106999444178427	10.322867185995076	10.615497848873456	11.043660029602993	9.255845864515646	9.369406017915082	9.364515771330527	9.184368478679023	11.137984521437389	10.84655370967075	10.438722141382328	11.169381913728582
O13297	9.400670634274302	9.386385948488915	9.384230702616701	9.270216015883506	9.52624411356905	9.59353629145906	9.059054898174331	9.065482083415155	9.095029146690099	9.007986222638309	8.91466740173767	9.168283745505846	9.024267574047194	8.922865709529027	9.471112929593822	9.487915313493367	9.278443547560062	9.203470414544462	9.702305518569126	9.61564613514647	9.500418836644766	9.367954212020134	9.375312274626083	9.197149643177092	9.49394475846223	9.190356050369562	9.39568689585628	9.449747522239665	9.593494529147712	9.275962028172554	9.448751330289955	9.516390958237032
O13329	5.000053676972122	5.575937738086731	6.315887758239491	5.691454033450138	5.856159767486719	5.776577412248379	5.278647950567345	5.389912861548222	5.769609653653564	5.971045826558385	5.492873385537408	5.607283038475014	5.324917556283271	5.482879386114767	5.486465334205601	5.738070202657269	5.890024234035412	5.862667664734911	5.386779189352705	5.529710172828327	5.599406154782457	5.049830833089278	5.842638442973282	5.519862690561689	6.204628061201138	5.650265287352662	5.858026277205411	5.128894999505249	6.180967060612506	4.975144393895347	5.510288199913843	5.52266357858193
O13525	5.984474416553333	6.333009848956099	5.678151301103739	5.667374701499472	5.674412625726081	5.479202258117953	5.515264968653316	5.392956142521584	5.53972665881583	5.76521949617149	5.160964647219533	5.337543571586032	4.611704499145855	4.262699882030915	5.639965937081094	5.030168525907428	5.773646284320517	4.750866650488028	5.520542478105167	5.34903239862021	5.1140297490627695	5.081499993029834	5.252725949787671	5.989898072436986	6.085976946577478	6.278252652132704	5.8076498628723066	6.486146775003277	4.339364582605083	4.2598080853875295	5.311303103331404	5.5159822680592505
O13539	9.171246486188714	9.018529749909522	9.28334301275342	9.026564115419841	9.324854123589677	9.285625544411332	9.260689432421788	9.64327417423296	9.172745239497836	9.192787202882894	8.871495927300629	8.689392431233248	8.639769703660473	8.518386233239521	8.127960641078616	8.54364414831803	8.734183796825665	8.733051845934831	8.347250658992976	8.774982350378963	9.851596391834406	9.95141985330591	9.472925278293886	9.208435108436653	9.221865215487824	9.078174723118394	8.024777199293013	8.619040227603406	10.243876397547467	10.337376423076659	8.982750542784412	9.599438508403868
O13563	7.812989847961326	5.323200766740648	6.403612929846403	7.4686137129876435	8.158036563935315	8.499349456325618	7.881118880800653	8.054365373864638	7.439051903710009	6.4585084041292795	7.973193122121945	6.880715293379875	7.478926918836336	8.363743434671637	7.07539132329914	9.078236657277998	9.142354528144278	7.233582528136196	7.9193529671348735	7.753950433096772	8.013233942413141	8.10043337183204	8.401531057999772	8.500840679488867	6.828949591388817	6.785600794111651	8.306181682367026	8.496621342836018	8.333007895748509	8.154679470282758	8.378140652850416	8.409498695458883
O13577	5.91362335928326	5.8668014138152245	6.074983397708092	5.939943295668279	6.464360229946099	7.188694602661613	6.201795842383319	6.846150383221168	7.201093786281998	6.874816790210563	6.939132916663141	7.658591227491513	5.882055818453654	5.881844047027796	6.270550253668676	6.177316774736789	6.238396297471968	6.262385976326447	6.48510708999247	6.323317094657811	8.165867888306234	8.053995336669498	7.600772532299107	7.488363121848668	5.953946813009638	5.723866298193695	5.941715414470509	5.864905393908268	7.786862173128078	8.11309190614362	6.532826322855495	7.31789418140723
O13585	7.794417879123685	7.675537259365562	8.02516468236687	7.828759346237234	8.386440532120385	7.397378904581892	7.6101087885225525	7.87410923563931	7.74420870907214	8.18176186025472	7.349890062138904	7.39108845768666	8.352203212720376	7.054218769442599	8.757792796399904	6.335523219089737	6.8903004547007	8.036464968374275	6.563499168112006	6.595715915361005	8.586950502322004	8.140458822698708	7.897820047403997	7.815269447800937	7.681895852124505	7.83437713942962	7.341790950840558	6.509086820246591	8.615484130803004	8.27587335762177	7.641435961814139	7.56898919171724
O14455	7.5596944385560825	8.817010356009362	8.34530264534725	8.876193196533617	8.523700890048282	9.001462982653532	9.960121332096001	8.835427873991485	8.39020108306795	8.526303053896036	8.22742361293204	8.852099454482843	8.151144307950663	8.133576526525044	8.269239469130916	7.82412102295266	6.515789172431607	8.20277870469669	7.048323392033833	8.668750075097467	8.865443655142489	8.74524432120256	8.743648113461287	8.752466534955428	8.833663522948147	6.343821565896132	8.886072080218188	8.683054099129265	12.111608047666465	8.966450819861794	8.787069403790394	8.731752336180861
O14467	14.728603331888507	14.601131793984806	15.039025959580208	14.732694496963617	15.077629020335888	15.08881836459705	14.91763703700678	15.344671512899957	15.068722327343252	15.000854679079215	14.598868960292172	14.956412021628363	14.625677303908645	14.694497813137438	14.754750488018782	14.320862506426948	14.922077497131195	14.791604592501166	14.756018959229493	14.93690814401334	15.747693861869426	15.514476857628285	15.131673301878859	15.104589042016052	14.634236374355805	14.355654753862677	14.562851817854074	14.290187798478758	15.52930863924685	15.958534451235767	14.620619935755663	15.301423561388471
