UNIPROT	AMH	BAN	BED	BPL	BTT	CMP	CPI	CQC	na_rep_AMH	na_rep_BAN	na_rep_BED	na_rep_BPL	na_rep_BTT	na_rep_CMP	na_rep_CPI	na_rep_CQC	na_strains
A5Z2X5	9.608658713336188	10.629988995481629	10.160260744400173	7.294548759884604	9.412522902750318	10.772256127162489	9.29353403311007	10.898160571554762	0	0	0	2	0	0	0	0	0
O13297	9.360375825315856	9.311079346654399	9.04649162914298	9.226540381665853	9.449966403955031	9.360208741617019	9.382433806731935	9.458649711461813	0	0	0	0	0	0	0	0	0
O13329	5.6579707176058065	5.674216680427773	5.710202976056093	5.508083119815227	5.667295315237839	5.497291810281673	5.7305164459706	6.180967060612506	2	1	0	0	0	1	1	3	0
O13525	5.915752567028161	5.527544578966993	5.450863593448221	4.838123439419288	5.34852195288348	5.4522179237624755	6.164506559146441	5.029031152259395	0	1	0	1	0	1	0	1	0
O13539	9.124920841067874	9.37861081866394	8.981605200228651	8.45744018157416	8.64736716303311	9.621094157967715	8.73596434137566	9.790860467953102	0	0	0	0	0	0	0	0	0
O13563	6.752104314384005	8.148217568731557	7.187867180835277	7.999074583521278	8.01231011412803	8.254009762933455	7.877250872197287	8.318831678585141	0	0	0	0	0	0	1	0	0
O13577	5.948837866618714	6.67525026455305	7.168408680161804	5.882055818453654	NA	7.827249719780877	5.723866298193695	7.437668645883606	0	0	0	3	4	0	3	0	0
O13585	7.830969791773338	7.817009365216035	7.666737272288106	7.624934499413154	7.021495126636997	8.11012470505641	7.341787690660318	8.025445660489037	0	0	0	0	0	0	0	0	0
O14455	8.399550159111577	9.080178269697324	8.499006801094717	8.09452033163982	7.608910336064899	8.77670065619044	8.186652817047932	9.649220151874879	0	0	0	0	0	0	0	0	0
O14467	14.775363895604285	15.107188983709918	14.90621449708575	14.598947027872953	14.851652298218799	15.374608265848156	14.460732686137828	15.352471646906688	0	0	0	0	0	0	0	0	0
O14468	6.679538300450507	6.652448835371397	6.608654956571092	6.246001776154832	6.419475966737536	7.0262514500818956	6.059533963992645	7.636876242825903	0	0	0	0	1	0	0	0	0
O43137	9.455093471053132	9.850455275187675	9.516309934024168	9.060013111582325	9.562601962880152	10.561393019331707	9.413612721353779	9.791291672800668	0	0	0	0	0	0	0	0	0
O60200	7.8149930618380345	7.909937556759881	7.147858694645222	7.173859616582679	7.631384149005993	8.139468421586583	7.740101891937187	8.631165389327908	0	0	0	0	0	0	0	0	0
O74700	11.426905509880037	11.806208693064606	11.545863475581278	10.713801676453773	11.134497202578295	12.000889605887624	11.652713807722552	12.061800973304965	0	0	0	0	0	0	0	0	0
O94742	10.261648222104286	10.41779136861752	10.65413188750172	9.396554278988138	10.090265537265719	11.13669958294383	10.020219493260738	10.912722158239074	0	0	0	0	0	0	0	0	0
P00044	12.290466616246816	11.895536129200025	12.302375982944628	11.297553032483458	11.823087519040017	11.62437734985209	12.485114341292796	11.94665101733882	0	0	0	0	0	0	0	0	0
P00128	13.28763336981065	13.897173677538817	13.645253665310687	11.49775807210395	12.610557576827961	14.208454114026065	13.114080897493352	14.131926849244456	0	0	0	0	0	0	0	0	0
P00175	9.530710297519938	9.274572764356666	8.638501575051844	7.467113982145094	7.801039029636833	8.036629532417304	9.949842667890525	8.591576691519682	0	0	0	2	0	0	0	0	0
