AMH_1_1_12	AMH_1_2_10	AMH_2_1_12	AMH_2_2_12	BAN_1_1_12	BAN_1_2_10	BAN_2_1_10	BAN_2_2_10	BED_1_1_12	BED_1_2_10	BED_2_1_12	BED_2_2_10	BPL_1_1_10	BPL_1_2_12	BPL_2_1_10	BPL_2_2_12	BTT_1_1_12	BTT_1_2_10	BTT_2_1_12	BTT_2_2_12	CMP_1_1_10	CMP_1_2_12	CMP_2_1_10	CMP_2_2_10	CPI_1_1_12	CPI_1_2_10	CPI_2_1_12	CPI_2_2_12	CQC_1_1_10	CQC_1_2_12	CQC_2_1_10	CQC_2_2_10	Only identified by site	Reverse	Potential contaminant	ANOVA Significant	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	MS/MS count	ANOVA p value	ANOVA q-value	Protein IDs	Majority protein IDs	Protein names	Gene names	Fasta headers
#!{Type}E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	C	C	C	C	N	N	N	N	N	N	N	N	N	N	N	N	N	T	T	T	T	T
#!{C:Group1}AMH	AMH	AMH	AMH	BAN	BAN	BAN	BAN	BED	BED	BED	BED	BPL	BPL	BPL	BPL	BTT	BTT	BTT	BTT	CMP	CMP	CMP	CMP	CPI	CPI	CPI	CPI	CQC	CQC	CQC	CQC																						
1.2355E+08	1.2036E+08	1.4752E+08	1.4315E+08	3.177E+08	3.0237E+08	2.343201E+08	2.6724E+08	1.554299E+08	1.758201E+08	1.8162E+08	3.3126E+08	2.991801E+07	2.372101E+07	4741802	1365140	1.112701E+08	1.0954E+08	1.328E+08	1.3314E+08	4.4309E+08	2.554701E+08	2.885302E+08	3.9383E+08	1.031E+08	1.125301E+08	1.1492E+08	1.004199E+08	5.0368E+08	3.8658E+08	2.537299E+08	4.2619E+08				+	2	2	2	26.4	26.4	26.4	7.9021	0	79.245	3940800000	60	1.5426329221237E-08	0.000613861386138614	A5Z2X5	A5Z2X5	UPF0495 protein YPR010C-A	YPR010C-A	sp|A5Z2X5|YP010_YEAST UPF0495 protein YPR010C-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YPR010C-A PE=3 SV=1
2.288999E+10	2.188802E+10	2.608803E+10	2.567999E+10	2.803201E+10	2.573301E+10	2.979599E+10	3.148903E+10	4.642004E+10	4.990903E+10	2.929802E+10	3.145499E+10	1.754701E+10	2.502198E+10	3.4159E+10	3.305604E+10	2.418103E+10	2.633699E+10	3.585603E+10	2.806998E+10	9.750499E+10	9.242809E+10	4.110195E+10	4.155095E+10	2.100798E+10	2.300302E+10	2.424101E+10	2.092001E+10	2.681701E+10	9.687998E+10	3.318504E+10	5.351107E+10			+	+	6	6	6	31.2	31.2	31.2	24.409	0	323.31	712660000000	1178	0.000949544192528771	0.00751197604790419	CON__P00761	CON__P00761			
1.6883E+07	1.5203E+07	2.463299E+07	3.064099E+07	9399795	1.1611E+07	1.6894E+07	1.774599E+07	8656904	9798106	1.244601E+07	1.0592E+07	2.465499E+07	1.557199E+07	4.528002E+07	5.745102E+07	8.992294E+07	5.741298E+07	6.516E+07	5.648198E+07	1.351101E+07	1.2638E+07	1.328301E+07	1.249E+07	1.1722E+07	1.776301E+07	4.210499E+07	5.785301E+07	9958398	1.508599E+07	6.049998E+07	4.1385E+07			+	+	13	6	4	27.1	15	10.2	51.621	0	31.511	664080000	44	0.000382751981201759	0.00487915936952715	CON__P02533;CON__Q6IFX2;CON__P19012;CON__A2A4G1;CON__Q61782;CON__P08727;CON__Q8N1A0	CON__P02533			
3.8141E+07	1.042499E+08	7828595	5827776	4.631302E+07	1.521201E+07	1950982	3907101	6964804	1.979701E+07	2678775	3761281	3250295	3029182	1430329	3652699	1908975	2119910	4676642	4832819	3626202	1.5787E+08	1.1204E+07	2934176	3773399	5623700	5292675	3020396	8638999	5490797	1660268	2209877			+		8	6	6	13.1	10.7	10.7	69.366	0	11.878	280590000	25	0.135639720854569	0.124528866714184	CON__P02768-1	CON__P02768-1			
8333163	3.782699E+07	5.448796E+07	2826004	6066458	2065522	5641602	1881056	8200733	2867126	4.170599E+07	3055559	1620440	1.575099E+07	3824532	2429347	3236899	6652154	4601518	3005590	7726206	2283314	2611909	4541660	6675606	2335090	7006549	2026906	1.792401E+08	1875439	2058309	3579475			+		12	12	10	17	17	14.5	69.293	0	14.473	275720000	49	0.599988772113943	0.469432818073722	CON__P02769	CON__P02769			
2.944201E+08	3.197301E+08	7.177903E+08	4.017801E+08	2.395201E+08	2.748202E+08	2.798802E+08	4.0467E+08	9.673601E+08	6.422502E+08	6.912296E+08	1.1137E+09	1.979099E+08	1.880501E+08	2.1201E+08	6.071592E+09	3.305102E+08	1.6305E+08	1.112101E+08	5.835802E+07	6.682298E+08	7.7241E+08	9.2411E+08	6.179199E+08	1.3508E+08	6.0954E+07	3.0789E+08	3.6672E+08	6.528305E+08	1.476601E+09	6.345898E+08	8.594899E+08			+	+	36	36	25	53.7	53.7	41.6	66.017	0	323.31	12942000000	622	0.0111673826645448	0.0258463094034378	CON__P04264	CON__P04264			
5.851601E+08	5.794103E+08	6.0351E+08	9.433395E+08	5.2484E+08	7.160596E+08	1.1351E+09	1.025499E+09	7.063496E+08	1.0312E+09	9.515301E+08	8.567796E+08	7.725796E+08	1.0348E+09	1.0828E+09	1.112701E+09	1.181899E+09	7.793998E+08	7.219904E+08	5.902603E+08	1.671001E+09	1.5718E+09	8.500797E+08	8.579505E+08	4.743701E+08	5.620897E+08	7.093396E+08	6.685603E+08	4.545299E+08	1.774001E+09	9.089697E+08	1.097601E+09			+		1	1	1	8.1	8.1	8.1	26.558	0	10.478	17190000000	56	0.115397152499575	0.110826277372263	CON__P07477	CON__P07477			
1883046	4853629	8076395	4015826	5703668	3285211	1.316801E+07	2534279	2343499	1877456	4795998	3547402	4759123	1.719719E+07	1957762	2.3032E+08	2418346	6957442	3012173	6319284	6730603	3005272	3264308	2851532	4794292	2959523	3371844	1901547	3003198	4.528498E+07	3039363	2.851298E+07			+		20	17	13	44.4	39.5	32.3	51.267	0	145.14	176440000	32	0.30376930773065	0.239764248704663	CON__P08779;CON__Q9Z2K1;CON__Q3ZAW8	CON__P08779			
